state	farmLabel	farmValue
NORTH CAROLINA	Sheep, Incl Lambs - Inventory ( First of Jan. 2021 )	28000
NORTH CAROLINA	Hogs - Inventory ( First of Dec. 2020 )	8800000
NORTH CAROLINA	Chickens, Broilers - Production, Measured in Head	961300000
NORTH CAROLINA	Turkeys - Production, Measured in Head	30000000
NORTH CAROLINA	Milk - Production, Measured in Lb / Head	21829
NORTH CAROLINA	Milk - Production, Measured in $	168260000
NORTH CAROLINA	Milk - Production, Measured in Lb	895000000
NORTH DAKOTA	Farm Operations - Area Operated, Measured in Acres / Operation	1512
NORTH DAKOTA	Farm Operations - Number of Operations	26000
NORTH DAKOTA	Farm Operations - Acres Operated	39300000
NORTH DAKOTA	Cattle, Cows, Beef - Inventory ( First of Jan. 2021 )	975000
NORTH DAKOTA	Cattle, Cows, Milk - Inventory ( First of Jan. 2021 )	15000
NORTH DAKOTA	Cattle, Incl Calves - Inventory ( First of Jan. 2021 )	1950000
NORTH DAKOTA	Cattle, On Feed - Inventory ( First of Jan. 2021 )	49000
NORTH DAKOTA	Sheep, Incl Lambs - Inventory ( First of Jan. 2021 )	73000
NORTH DAKOTA	Hogs - Inventory ( First of Dec. 2020 )	143000
NORTH DAKOTA	Milk - Production, Measured in Lb / Head	21867
NORTH DAKOTA	Milk - Production, Measured in $	65272000
NORTH DAKOTA	Milk - Production, Measured in Lb	328000000
OHIO	Farm Operations - Area Operated, Measured in Acres / Operation	175
OHIO	Farm Operations - Number of Operations	77800
OHIO	Farm Operations - Acres Operated	13600000
OHIO	Cattle, Cows, Beef - Inventory ( First of Jan. 2021 )	302000
OHIO	Cattle, Cows, Milk - Inventory ( First of Jan. 2021 )	258000
OHIO	Cattle, Incl Calves - Inventory ( First of Jan. 2021 )	1260000
OHIO	Cattle, On Feed - Inventory ( First of Jan. 2021 )	150000
OHIO	Goats, Meat & Other - Inventory ( First of Jan. 2021 )	44000
OHIO	Goats, Milk - Inventory ( First of Jan. 2021 )	10000
OHIO	Sheep, Incl Lambs - Inventory ( First of Jan. 2021 )	126000
OHIO	Hogs - Inventory ( First of Dec. 2020 )	2650000
OHIO	Chickens, Broilers - Production, Measured in Head	108200000
OHIO	Turkeys - Production, Measured in Head	6000000
OHIO	Milk - Production, Measured in Lb / Head	22118
OHIO	Milk - Production, Measured in $	1028094000
OHIO	Milk - Production, Measured in Lb	5618000000
OKLAHOMA	Farm Operations - Area Operated, Measured in Acres / Operation	445
OKLAHOMA	Farm Operations - Number of Operations	77300
OKLAHOMA	Farm Operations - Acres Operated	34400000
OKLAHOMA	Cattle, Cows, Beef - Inventory ( First of Jan. 2021 )	2189000
OKLAHOMA	Cattle, Cows, Milk - Inventory ( First of Jan. 2021 )	41000
OKLAHOMA	Cattle, Incl Calves - Inventory ( First of Jan. 2021 )	5300000
OKLAHOMA	Cattle, On Feed - Inventory ( First of Jan. 2021 )	335000
OKLAHOMA	Goats, Meat & Other - Inventory ( First of Jan. 2021 )	79000
OKLAHOMA	Goats, Milk - Inventory ( First of Jan. 2021 )	7800
OKLAHOMA	Sheep, Incl Lambs - Inventory ( First of Jan. 2021 )	51000
OKLAHOMA	Hogs - Inventory ( First of Dec. 2020 )	2080000
OKLAHOMA	Chickens, Broilers - Production, Measured in Head	204700000
OKLAHOMA	Milk - Production, Measured in Lb / Head	17452
OKLAHOMA	Milk - Production, Measured in $	139270000
OKLAHOMA	Milk - Production, Measured in Lb	733000000
OREGON	Farm Operations - Area Operated, Measured in Acres / Operation	425
OREGON	Farm Operations - Number of Operations	37200
OREGON	Farm Operations - Acres Operated	15800000
OREGON	Cattle, Cows, Beef - Inventory ( First of Jan. 2021 )	525000
OREGON	Cattle, Cows, Milk - Inventory ( First of Jan. 2021 )	125000
OREGON	Cattle, Incl Calves - Inventory ( First of Jan. 2021 )	1250000
OREGON	Cattle, On Feed - Inventory ( First of Jan. 2021 )	105000
OREGON	Goats, Meat & Other - Inventory ( First of Jan. 2021 )	28000
OREGON	Goats, Milk - Inventory ( First of Jan. 2021 )	13500
OREGON	Sheep, Incl Lambs - Inventory ( First of Jan. 2021 )	155000
OREGON	Hogs - Inventory ( First of Dec. 2020 )	9000
OREGON	Milk - Production, Measured in Lb / Head	21032
OREGON	Milk - Production, Measured in $	557348000
OREGON	Milk - Production, Measured in Lb	2629000000
PENNSYLVANIA	Farm Operations - Area Operated, Measured in Acres / Operation	139
PENNSYLVANIA	Farm Operations - Number of Operations	52700
PENNSYLVANIA	Farm Operations - Acres Operated	7300000
PENNSYLVANIA	Cattle, Cows, Beef - Inventory ( First of Jan. 2021 )	215000
PENNSYLVANIA	Cattle, Cows, Milk - Inventory ( First of Jan. 2021 )	475000
PENNSYLVANIA	Cattle, Incl Calves - Inventory ( First of Jan. 2021 )	1430000
PENNSYLVANIA	Cattle, On Feed - Inventory ( First of Jan. 2021 )	80000
PENNSYLVANIA	Goats, Meat & Other - Inventory ( First of Jan. 2021 )	38000
PENNSYLVANIA	Goats, Milk - Inventory ( First of Jan. 2021 )	14000
PENNSYLVANIA	Sheep, Incl Lambs - Inventory ( First of Jan. 2021 )	97000
PENNSYLVANIA	Hogs - Inventory ( First of Dec. 2020 )	1390000
PENNSYLVANIA	Chickens, Broilers - Production, Measured in Head	221100000
PENNSYLVANIA	Turkeys - Production, Measured in Head	6700000
PENNSYLVANIA	Milk, Dry, Nonfat, Human - Production, Measured in Plants	3
PENNSYLVANIA	Milk - Production, Measured in Lb / Head	21320
PENNSYLVANIA	Milk, Dry, Nonfat, Human - Production, Measured in Lb	184283000
PENNSYLVANIA	Milk - Production, Measured in $	1870232000
PENNSYLVANIA	Milk - Production, Measured in Lb	10276000000
RHODE ISLAND	Farm Operations - Area Operated, Measured in Acres / Operation	55
RHODE ISLAND	Farm Operations - Number of Operations	1100
RHODE ISLAND	Farm Operations - Acres Operated	60000
RHODE ISLAND	Cattle, Cows, Beef - Inventory ( First of Jan. 2021 )	1000
RHODE ISLAND	Cattle, Cows, Milk - Inventory ( First of Jan. 2021 )	500
RHODE ISLAND	Cattle, Incl Calves - Inventory ( First of Jan. 2021 )	3500
RHODE ISLAND	Hogs - Inventory ( First of Dec. 2020 )	1500
RHODE ISLAND	Milk - Production, Measured in Lb / Head	21800
RHODE ISLAND	Milk - Production, Measured in $	1908000
RHODE ISLAND	Milk - Production, Measured in Lb	10900000
SOUTH CAROLINA	Farm Operations - Area Operated, Measured in Acres / Operation	195
SOUTH CAROLINA	Farm Operations - Number of Operations	24600
SOUTH CAROLINA	Farm Operations - Acres Operated	4800000
SOUTH CAROLINA	Cattle, Cows, Beef - Inventory ( First of Jan. 2021 )	168000
SOUTH CAROLINA	Cattle, Cows, Milk - Inventory ( First of Jan. 2021 )	10000
SOUTH CAROLINA	Cattle, Incl Calves - Inventory ( First of Jan. 2021 )	330000
SOUTH CAROLINA	Goats, Meat & Other - Inventory ( First of Jan. 2021 )	31000
SOUTH CAROLINA	Goats, Milk - Inventory ( First of Jan. 2021 )	3200
SOUTH CAROLINA	Hogs - Inventory ( First of Dec. 2020 )	188000
SOUTH CAROLINA	Chickens, Broilers - Production, Measured in Head	243500000
SOUTH CAROLINA	Milk - Production, Measured in Lb / Head	18900
SOUTH CAROLINA	Milk - Production, Measured in $	36477000
SOUTH CAROLINA	Milk - Production, Measured in Lb	189000000
SOUTH DAKOTA	Farm Operations - Area Operated, Measured in Acres / Operation	1459
SOUTH DAKOTA	Farm Operations - Number of Operations	29600
SOUTH DAKOTA	Farm Operations - Acres Operated	43200000
SOUTH DAKOTA	Cattle, Cows, Beef - Inventory ( First of Jan. 2021 )	1799000
SOUTH DAKOTA	Cattle, Cows, Milk - Inventory ( First of Jan. 2021 )	141000
SOUTH DAKOTA	Cattle, Incl Calves - Inventory ( First of Jan. 2021 )	4000000
SOUTH DAKOTA	Cattle, On Feed - Inventory ( First of Jan. 2021 )	460000
SOUTH DAKOTA	Sheep, Incl Lambs - Inventory ( First of Jan. 2021 )	245000
SOUTH DAKOTA	Hogs - Inventory ( First of Dec. 2020 )	2020000
SOUTH DAKOTA	Turkeys - Production, Measured in Head	4500000
SOUTH DAKOTA	Milk - Production, Measured in Lb / Head	23111
SOUTH DAKOTA	Milk - Production, Measured in $	642720000
SOUTH DAKOTA	Milk - Production, Measured in Lb	3120000000
TENNESSEE	Farm Operations - Area Operated, Measured in Acres / Operation	155
TENNESSEE	Farm Operations - Number of Operations	69500
TENNESSEE	Farm Operations - Acres Operated	10800000
TENNESSEE	Cattle, Cows, Beef - Inventory ( First of Jan. 2021 )	900000
TENNESSEE	Cattle, Cows, Milk - Inventory ( First of Jan. 2021 )	30000
TENNESSEE	Cattle, Incl Calves - Inventory ( First of Jan. 2021 )	1790000
TENNESSEE	Goats, Meat & Other - Inventory ( First of Jan. 2021 )	96000
TENNESSEE	Goats, Milk - Inventory ( First of Jan. 2021 )	7000
TENNESSEE	Sheep, Incl Lambs - Inventory ( First of Jan. 2021 )	53000
TENNESSEE	Hogs - Inventory ( First of Dec. 2020 )	260000
TENNESSEE	Chickens, Broilers - Production, Measured in Head	187400000
TENNESSEE	Milk - Production, Measured in Lb / Head	18067
TENNESSEE	Milk - Production, Measured in $	101896000
TENNESSEE	Milk - Production, Measured in Lb	542000000
TEXAS	Farm Operations - Area Operated, Measured in Acres / Operation	510
TEXAS	Farm Operations - Number of Operations	247000
TEXAS	Farm Operations - Acres Operated	126000000
TEXAS	Cattle, Cows, Beef - Inventory ( First of Jan. 2021 )	4685000
TEXAS	Cattle, Cows, Milk - Inventory ( First of Jan. 2021 )	615000
TEXAS	Cattle, Incl Calves - Inventory ( First of Jan. 2021 )	13100000
TEXAS	Cattle, On Feed - Inventory ( First of Jan. 2021 )	2890000
TEXAS	Goats, Angora - Inventory ( First of Jan. 2021 )	61000
TEXAS	Goats, Meat & Other - Inventory ( First of Jan. 2021 )	740000
TEXAS	Goats, Milk - Inventory ( First of Jan. 2021 )	26000
TEXAS	Sheep, Incl Lambs - Inventory ( First of Jan. 2021 )	730000
TEXAS	Hogs - Inventory ( First of Dec. 2020 )	1080000
TEXAS	Chickens, Broilers - Production, Measured in Head	702500000
TEXAS	Milk - Production, Measured in Lb / Head	24926
TEXAS	Milk - Production, Measured in $	2758566000
TEXAS	Milk - Production, Measured in Lb	14831000000
UTAH	Farm Operations - Area Operated, Measured in Acres / Operation	601
UTAH	Farm Operations - Number of Operations	17800
UTAH	Farm Operations - Acres Operated	10700000
UTAH	Cattle, Cows, Beef - Inventory ( First of Jan. 2021 )	345000
UTAH	Cattle, Cows, Milk - Inventory ( First of Jan. 2021 )	95000
UTAH	Cattle, Incl Calves - Inventory ( First of Jan. 2021 )	800000
UTAH	Cattle, On Feed - Inventory ( First of Jan. 2021 )	23000
UTAH	Sheep, Incl Lambs - Inventory ( First of Jan. 2021 )	285000
UTAH	Hogs - Inventory ( First of Dec. 2020 )	1000000
UTAH	Milk - Production, Measured in Lb / Head	23198
UTAH	Milk - Production, Measured in $	405314000
UTAH	Milk - Production, Measured in Lb	2227000000
VERMONT	Farm Operations - Area Operated, Measured in Acres / Operation	176
VERMONT	Farm Operations - Number of Operations	6800
VERMONT	Farm Operations - Acres Operated	1200000
VERMONT	Cattle, Cows, Beef - Inventory ( First of Jan. 2021 )	14000
VERMONT	Cattle, Cows, Milk - Inventory ( First of Jan. 2021 )	120000
VERMONT	Cattle, Incl Calves - Inventory ( First of Jan. 2021 )	245000
VERMONT	Hogs - Inventory ( First of Dec. 2020 )	4000
VERMONT	Milk - Production, Measured in Lb / Head	21328
VERMONT	Milk - Production, Measured in $	476166000
VERMONT	Milk - Production, Measured in Lb	2602000000
VIRGINIA	Farm Operations - Area Operated, Measured in Acres / Operation	184
VIRGINIA	Farm Operations - Number of Operations	42300
VIRGINIA	Farm Operations - Acres Operated	7800000
VIRGINIA	Cattle, Cows, Beef - Inventory ( First of Jan. 2021 )	595000
VIRGINIA	Cattle, Cows, Milk - Inventory ( First of Jan. 2021 )	75000
VIRGINIA	Cattle, Incl Calves - Inventory ( First of Jan. 2021 )	1390000
VIRGINIA	Cattle, On Feed - Inventory ( First of Jan. 2021 )	16000
VIRGINIA	Goats, Meat & Other - Inventory ( First of Jan. 2021 )	40000
VIRGINIA	Goats, Milk - Inventory ( First of Jan. 2021 )	4800
VIRGINIA	Sheep, Incl Lambs - Inventory ( First of Jan. 2021 )	78000
VIRGINIA	Hogs - Inventory ( First of Dec. 2020 )	310000
VIRGINIA	Chickens, Broilers - Production, Measured in Head	276200000
VIRGINIA	Turkeys - Production, Measured in Head	16000000
VIRGINIA	Milk - Production, Measured in Lb / Head	20293
VIRGINIA	Milk - Production, Measured in $	299834000
VIRGINIA	Milk - Production, Measured in Lb	1522000000
WASHINGTON	Farm Operations - Area Operated, Measured in Acres / Operation	411
WASHINGTON	Farm Operations - Number of Operations	35500
WASHINGTON	Farm Operations - Acres Operated	14600000
WASHINGTON	Cattle, Cows, Beef - Inventory ( First of Jan. 2021 )	221000
WASHINGTON	Cattle, Cows, Milk - Inventory ( First of Jan. 2021 )	279000
WASHINGTON	Cattle, Incl Calves - Inventory ( First of Jan. 2021 )	1140000
WASHINGTON	Cattle, On Feed - Inventory ( First of Jan. 2021 )	240000
WASHINGTON	Goats, Meat & Other - Inventory ( First of Jan. 2021 )	22000
WASHINGTON	Goats, Milk - Inventory ( First of Jan. 2021 )	7300
WASHINGTON	Sheep, Incl Lambs - Inventory ( First of Jan. 2021 )	50000
WASHINGTON	Hogs - Inventory ( First of Dec. 2020 )	17000
WASHINGTON	Milk - Production, Measured in Lb / Head	24346
WASHINGTON	Milk - Production, Measured in $	1192975000
WASHINGTON	Milk - Production, Measured in Lb	6817000000
WEST VIRGINIA	Farm Operations - Area Operated, Measured in Acres / Operation	154
WEST VIRGINIA	Farm Operations - Number of Operations	22800
WEST VIRGINIA	Farm Operations - Acres Operated	3500000
WEST VIRGINIA	Cattle, Cows, Beef - Inventory ( First of Jan. 2021 )	190000
WEST VIRGINIA	Cattle, Cows, Milk - Inventory ( First of Jan. 2021 )	5000
WEST VIRGINIA	Cattle, Incl Calves - Inventory ( First of Jan. 2021 )	375000
WEST VIRGINIA	Cattle, On Feed - Inventory ( First of Jan. 2021 )	5000
WEST VIRGINIA	Goats, Meat & Other - Inventory ( First of Jan. 2021 )	19000
WEST VIRGINIA	Sheep, Incl Lambs - Inventory ( First of Jan. 2021 )	30000
WEST VIRGINIA	Hogs - Inventory ( First of Dec. 2020 )	3000
WEST VIRGINIA	Chickens, Broilers - Production, Measured in Head	70200000
WEST VIRGINIA	Turkeys - Production, Measured in Head	3900000
WEST VIRGINIA	Milk - Production, Measured in Lb / Head	14833
WEST VIRGINIA	Milk - Production, Measured in $	15575000
WEST VIRGINIA	Milk - Production, Measured in Lb	89000000
WISCONSIN	Farm Operations - Area Operated, Measured in Acres / Operation	222
WISCONSIN	Farm Operations - Number of Operations	64400
WISCONSIN	Farm Operations - Acres Operated	14300000
WISCONSIN	Cattle, Cows, Beef - Inventory ( First of Jan. 2021 )	310000
WISCONSIN	Cattle, Cows, Milk - Inventory ( First of Jan. 2021 )	1260000
WISCONSIN	Cattle, Incl Calves - Inventory ( First of Jan. 2021 )	3450000
WISCONSIN	Cattle, On Feed - Inventory ( First of Jan. 2021 )	250000
WISCONSIN	Goats, Milk - Inventory ( First of Jan. 2021 )	72000
WISCONSIN	Sheep, Incl Lambs - Inventory ( First of Jan. 2021 )	86000
WISCONSIN	Hogs - Inventory ( First of Dec. 2020 )	400000
WISCONSIN	Chickens, Broilers - Production, Measured in Head	55000000
WISCONSIN	Milk - Production, Measured in Lb / Head	24408
WISCONSIN	Milk - Production, Measured in $	5807970000
WISCONSIN	Milk - Production, Measured in Lb	30730000000
WYOMING	Farm Operations - Area Operated, Measured in Acres / Operation	2417
WYOMING	Farm Operations - Number of Operations	12000
WYOMING	Farm Operations - Acres Operated	29000000
WYOMING	Cattle, Cows, Beef - Inventory ( First of Jan. 2021 )	702000
WYOMING	Cattle, Cows, Milk - Inventory ( First of Jan. 2021 )	8000
WYOMING	Cattle, Incl Calves - Inventory ( First of Jan. 2021 )	1300000
WYOMING	Cattle, On Feed - Inventory ( First of Jan. 2021 )	74000
WYOMING	Sheep, Incl Lambs - Inventory ( First of Jan. 2021 )	340000
WYOMING	Hogs - Inventory ( First of Dec. 2020 )	95000
WYOMING	Milk - Production, Measured in Lb / Head	25173
WYOMING	Milk - Production, Measured in $	31907000
WYOMING	Milk - Production, Measured in Lb	188800000
